"Module Name","Display Name","Driver Type","Link Date"
"GPIOClx0101","Microsoft GPIO Class Extension Driver","Kernel ",""
"HdAudAddService","Microsoft 1.1 UAA Function Driver for High Definition Audio Service","Kernel ",""
"HDAudBus","Microsoft UAA Bus Driver for High Definition Audio","Kernel ",""
"HidBatt","HID UPS Battery Driver","Kernel ",""
"HidBth","Microsoft Bluetooth HID Miniport","Kernel ",""
"HidEventFilter","Intel(R) HID Event Filter","Kernel ","02-02-2024 11:45:38 AM"
"hidi2c","Microsoft I2C HID Miniport Driver","Kernel ",""
"hidinterrupt","Common Driver for HID Buttons implemented with interrupts","Kernel ",""
"HidIr","Microsoft Infrared HID Driver","Kernel ",""
"hidspi","Microsoft SPI HID Miniport Driver","Kernel ",""
"HidSpiCx","HidSpi KMDF Class Extension","Kernel ",""
"HidUsb","Microsoft HID Class Driver","Kernel ",""
"hnswfpdriver","HNS WFP Driver","Kernel ",""
"HpSAMD","HpSAMD","Kernel ","27-03-2013 03:06:54 AM"
"Hsp","Microsoft Pluton Service","Kernel ",""
"HTTP","HTTP Service","Kernel ",""
"hvcrash","hvcrash","Kernel ",""
"hvservice","Microsoft Hypervisor Service Driver","Kernel ",""
"hvsocketcontrol","hvsocketcontrol","Kernel ",""
"HwNClx0101","Microsoft Hardware Notifications Class Extension Driver","Kernel ",""
"hwpolicy","Hardware Policy Driver","Kernel ",""
"hyperkbd","hyperkbd","Kernel ",""
"HyperVideo","HyperVideo","Kernel ",""
"I3CHost","I3C Host Controller Service","Kernel ",""
"i8042prt","i8042 Keyboard and PS/2 Mouse Port Driver","Kernel ",""
"iagpio","Intel Serial IO GPIO Controller Driver","Kernel ","23-07-2018 02:34:46 PM"
"iai2c","Intel(R) Serial IO I2C Host Controller","Kernel ","23-07-2018 02:34:39 PM"
"iaLPSS2i_GPIO2","Intel(R) Serial IO GPIO Driver v2","Kernel ","19-04-2018 01:23:24 PM"
"iaLPSS2i_GPIO2_BXT_P","Intel(R) Serial IO GPIO Driver v2","Kernel ","17-04-2018 02:55:15 PM"
"iaLPSS2i_GPIO2_CNL","Intel(R) Serial IO GPIO Driver v2","Kernel ","17-04-2018 12:37:03 PM"
"iaLPSS2i_GPIO2_GLK","Intel(R) Serial IO GPIO Driver v2","Kernel ","16-05-2018 11:16:36 AM"
"iaLPSS2i_I2C","Intel(R) Serial IO I2C Driver v2","Kernel ","19-04-2018 01:22:58 PM"
"iaLPSS2i_I2C_BXT_P","Intel(R) Serial IO I2C Driver v2","Kernel ","17-04-2018 02:54:40 PM"
"iaLPSS2i_I2C_CNL","Intel(R) Serial IO I2C Driver v2","Kernel ","15-07-2019 10:42:12 AM"
"iaLPSS2i_I2C_GLK","Intel(R) Serial IO I2C Driver v2","Kernel ","16-05-2018 11:16:02 AM"
"iaLPSS2_GPIO2_ADL","Intel(R) Serial IO GPIO Driver v2","Kernel ","06-09-2022 08:40:36 AM"
"iaLPSS2_I2C_ADL","Intel(R) Serial IO I2C Driver v2","Kernel ","06-09-2022 08:40:00 AM"
"iaLPSSi_GPIO","Intel(R) Serial IO GPIO Controller Driver","Kernel ","02-02-2015 02:30:09 PM"
"iaLPSSi_I2C","Intel(R) Serial IO I2C Controller Driver","Kernel ","24-02-2015 09:22:07 PM"
"iaStorAVC","Intel Chipset SATA RAID Controller","Kernel ","05-09-2019 05:37:32 PM"
